Cluster,Token
0,"UX Design, UI Design, Interaction Design, Programming, Collaborative design, Human-centered Design practice, Back-end Web development, Experiential Design, Front-end Web development, Full-stack web development, User testing, Human computer interaction, User research, Sustainability"
1,"Entreprenuership, Business model development, Liscensing"
2,"Branding, Competitive Analysis, Market Analysis, Problem solving, Marketing, Leadership, Business Planning, Supply Chain, Project management, Product Launch, Product Management, Strategic Decision Making, Accounting, Budgeting, Investment Planning, Customer Experience, Team building"
3,"Embedded Systems, IoT"
4,"Medical Imaging, Telemedicine, Health Informatics"
5,"Database Management, Machine Learning, Data Visualization, Data Analytics, Data Modelling, Data structures and Algorithms, Business Intelligence, Big Data, Data mining, Artificial Intelligence"
6,"Prototyping, Augmented Reality, 3D Modeling, Animation, Storyboarding, Virtual Reality, 3D Simulation, Game Art, Visual Effects, 2D / 3D Sketching"
7,"Presentation, Public speaking"
8,"Product Design, Packaging Design, Manufacturing, Fashion, Wood working, Metal Working, Laser cutting, 3D printing, Textiles, Material science"
