Cluster,Token
0,"UX Design, Product Design, Branding, Programming, Competitive Analysis, Market Analysis, Augmented Reality, Problem solving, Animation, Entreprenuership, Marketing, Database Management, Embedded Systems, Machine Learning, Human-centered Design practice, Storyboarding, Packaging Design, Presentation, Business Planning, Supply Chain, Virtual Reality, Data Visualization, Data Analytics, Fashion, 3D Simulation, Product Management, Strategic Decision Making, Accounting, Budgeting, Investment Planning, Game Art, Front-end Web development, Data Modelling, IoT, Business Intelligence, Big Data, User testing, Customer Experience, Public speaking, Team building, Visual Effects, Wood working, Metal Working, Laser cutting, 3D printing, Textiles, Data mining, Artificial Intelligence, 2D / 3D Sketching, Business model development, Liscensing, Medical Imaging, Telemedicine, Health Informatics, Human computer interaction, Material science, Sustainability"
1,"Leadership, Manufacturing, Back-end Web development, Experiential Design, Data structures and Algorithms"
2,"Collaborative design, Product Launch"
3,"Project management, User research"
4,Prototyping
5,UI Design
6,Full-stack web development
7,Interaction Design
8,3D Modeling
