Cluster,Token
Business Management,"Animation, Virtual Reality, 3D Simulation, Visual Effects, Laser cutting, 3D printing, 2D / 3D Sketching"
Data and computing,"UX Design, Packaging Design, Experiential Design, Metal Working, Sustainability"
Entrepreneurship,"UI Design, Augmented Reality, 3D Modeling, Embedded Systems, Machine Learning, Data Modelling, Medical Imaging"
Fabrication,"Programming, Problem solving, Database Management, Human-centered Design practice, Back-end Web development, Data Visualization, Data Analytics, Project management, Data structures and Algorithms, Business Intelligence, Big Data, Full-stack web development, Data mining, Artificial Intelligence, Telemedicine, Health Informatics, Human computer interaction"
Physical and Embedded computing,"Prototyping, Product Design, Branding, Interaction Design, Competitive Analysis, Market Analysis, Entreprenuership, Collaborative design, Storyboarding, Presentation, Leadership, Business Planning, Fashion, Product Launch, Product Management, Strategic Decision Making, Budgeting, Investment Planning, Game Art, Front-end Web development, User testing, Customer Experience, Team building, Wood working, Textiles, Business model development, Liscensing, User research"
Visual computing and Digital Design,"Marketing, Manufacturing, Supply Chain, Accounting, IoT, Public speaking, Material science"
